race_id,timestamp,lap_number,duration_s,avg_speed_px_s
21,1776631297.176,3,0.94,4.183
21,1776631315.896,3,0.775,5.084
21,1776631317.023,3,0.818,4.71
21,1776631345.373,2,1.676,4.431
21,1776631351.706,2,2.174,4.562
21,1776631354.515,1,2.587,3.905
22,1776631421.805,2,1.994,4.168
22,1776631424.341,1,2.276,3.604
22,1776631432.536,3,1.882,4.181
22,1776631432.945,3,1.18,3.863
22,1776631450.0,2,1.182,3.929
23,1776631515.279,2,1.155,4.275
23,1776631518.456,2,2.057,5.17
23,1776631524.194,2,1.55,5.594
23,1776631541.975,3,0.845,4.987
23,1776631553.658,3,2.074,5.029
24,1776631629.539,1,0.643,4.886
24,1776631673.566,1,1.669,4.627
24,1776631684.074,1,2.053,5.215
25,1776631750.461,2,1.979,4.322
25,1776631751.152,1,1.02,4.064
25,1776631759.81,3,2.524,4.261
25,1776631772.047,1,2.454,2.948
25,1776631795.679,3,2.217,5.901
26,1776631882.579,3,2.529,4.452
26,1776631895.817,2,2.337,5.178
26,1776631908.659,2,1.713,4.469
26,1776631911.015,3,2.164,5.247
26,1776631921.992,2,1.04,3.729
26,1776631932.946,1,1.657,3.597
27,1776631990.645,2,0.978,3.843
27,1776632003.155,3,2.453,5.387
27,1776632019.947,2,2.295,5.492
27,1776632020.243,1,0.901,5.092
27,1776632022.27,2,2.294,5.171
27,1776632033.401,2,0.726,4.495
28,1776632108.11,3,0.611,5.543
28,1776632127.492,1,1.157,5.277
28,1776632129.61,2,1.559,4.326
28,1776632163.081,3,1.932,4.43
28,1776632167.016,2,1.617,4.948
29,1776632227.523,1,2.656,5.142
29,1776632241.344,3,0.693,4.999
29,1776632259.663,3,0.859,4.819
29,1776632276.294,3,2.378,4.97
29,1776632276.974,2,1.326,4.253
29,1776632283.453,3,2.013,4.521
30,1776632343.031,2,1.37,4.662
30,1776632358.701,1,2.247,5.226
30,1776632393.012,3,1.531,4.768
31,1776632441.082,3,1.32,4.862
31,1776632466.788,2,2.271,4.928
31,1776632484.644,1,2.678,3.953
32,1776632555.003,2,0.624,4.277
32,1776632562.029,3,1.869,4.154
32,1776632582.781,3,0.785,4.998
32,1776632608.187,3,1.105,3.966
32,1776632627.626,2,0.624,4.527
33,1776632689.177,2,0.664,4.288
33,1776632698.421,2,1.488,4.532
33,1776632699.771,1,2.71,4.172
33,1776632714.891,2,1.003,5.422
33,1776632724.504,2,0.734,5.658
33,1776632746.991,2,2.796,5.283
34,1776632803.229,1,1.315,5.223
34,1776632839.446,3,1.663,4.246
34,1776632852.331,3,1.703,3.894
34,1776632853.51,3,0.866,4.353
34,1776632862.488,3,2.506,4.233
35,1776632946.381,3,2.38,4.613
35,1776632952.853,2,2.798,3.567
35,1776632967.676,2,1.535,4.821
36,1776635371.764,1,0.828,2.544
36,1776635384.489,1,0.4,0.867
36,1776635387.043,1,1.717,3.834
36,1776635391.141,2,1.563,2.851
36,1776635396.439,2,2.748,4.936
36,1776635396.571,2,0.066,0.978
36,1776635397.409,2,0.672,3.298
36,1776635401.891,2,0.936,6.431
36,1776635407.091,2,1.328,1.514
36,1776635420.746,3,2.557,5.008
36,1776635426.517,3,0.134,0.45
36,1776635427.963,3,1.1,4.568
36,1776635437.482,3,2.986,4.149
37,1776635489.017,1,1.846,5.106
37,1776635495.081,1,1.214,3.839
37,1776635503.489,1,1.564,3.709
37,1776635504.886,1,0.897,2.456
37,1776635513.085,2,0.468,2.311
37,1776635515.019,2,1.501,6.81
37,1776635520.776,2,0.6,6.225
37,1776635529.53,2,0.481,5.99
37,1776635531.075,2,0.516,4.423
37,1776635534.019,3,1.463,3.268
37,1776635536.514,3,1.431,5.203
37,1776635545.431,3,1.944,3.335
37,1776635548.992,3,0.881,4.162
38,1776635579.718,1,0.833,5.548
38,1776635585.037,1,0.799,6.185
38,1776635593.844,1,4.358,3.452
38,1776635600.462,2,2.059,5.55
38,1776635606.096,2,0.915,4.402
38,1776635621.574,3,0.765,2.591
38,1776635622.87,3,1.014,5.483
38,1776635626.046,3,1.727,4.488
38,1776635628.89,3,1.463,4.128
39,1776635700.776,1,1.706,4.818
39,1776635707.476,1,1.946,3.164
39,1776635716.389,1,2.589,4.992
39,1776635722.764,2,1.699,5.25
39,1776635728.893,2,1.568,3.794
39,1776635734.864,2,1.615,1.783
39,1776635742.418,3,1.139,3.631
39,1776635749.515,3,6.117,4.337
39,1776635751.679,3,1.363,3.718
39,1776635756.703,3,0.251,2.717
40,1776635785.599,1,1.725,4.961
40,1776635791.876,1,0.367,5.446
40,1776635796.135,1,1.386,4.471
40,1776635803.163,1,0.935,2.829
40,1776635809.443,2,0.574,2.155
40,1776635813.496,2,0.051,1.268
40,1776635814.179,2,0.336,0.976
40,1776635829.341,3,0.748,2.907
40,1776635831.157,3,1.481,3.71
40,1776635832.623,3,0.402,4.17
40,1776635840.588,3,1.41,3.692
40,1776635850.581,3,1.026,3.47
40,1776635851.232,3,0.617,1.659
41,1776635869.687,1,1.272,5.587
41,1776635888.071,2,0.9,5.886
41,1776635891.927,2,2.95,4.373
41,1776635893.267,2,0.389,4.479
41,1776635898.617,2,1.383,3.333
41,1776635900.143,2,0.723,4.437
41,1776635903.05,2,1.883,2.699
41,1776635904.187,2,0.502,3.103
41,1776635917.015,3,1.987,2.859
41,1776635917.8,3,0.1,4.85
42,1776635960.613,1,1.993,1.525
42,1776635963.864,1,1.405,3.079
42,1776635972.84,1,0.587,4.256
42,1776635990.849,2,1.996,3.672
42,1776635991.214,2,0.232,3.563
42,1776636003.38,2,0.583,3.438
42,1776636011.304,3,0.615,3.953
42,1776636012.07,3,0.382,4.174
42,1776636012.5,3,0.247,0.22
42,1776636014.078,3,1.08,2.553
42,1776636016.856,3,1.793,3.85
42,1776636025.485,3,1.944,3.403
42,1776636034.4,3,2.822,3.93
43,1776636049.421,1,1.49,5.575
43,1776636055.86,1,0.984,5.879
43,1776636068.681,2,0.769,3.888
43,1776636072.743,2,3.469,4.062
43,1776636075.223,2,2.296,2.942
43,1776636079.348,2,1.593,4.269
43,1776636085.951,2,1.698,4.227
43,1776636089.907,3,1.687,2.33
43,1776636095.859,3,1.913,4.879
43,1776636099.542,3,0.851,4.365
43,1776636100.642,3,0.199,4.364
44,1776636163.831,1,1.986,3.405
44,1776636185.982,2,1.712,3.279
44,1776636192.444,2,1.258,3.571
44,1776636206.357,3,1.056,6.243
44,1776636208.219,3,1.661,3.165
44,1776636214.173,3,1.43,3.413
44,1776636215.423,3,0.982,3.698
45,1776636393.162,1,0.838,6.498
45,1776636398.904,1,1.072,3.307
45,1776636399.139,1,0.182,5.1
45,1776636409.21,1,3.111,3.534
45,1776636411.426,2,0.503,5.761
45,1776636412.749,2,0.284,3.401
45,1776636414.138,2,0.689,6.344
45,1776636416.7,2,0.854,1.581
45,1776636430.345,2,3.239,4.463
45,1776636434.23,3,0.922,5.771
45,1776636438.34,3,1.914,4.206
46,1776637600.698,1,0.684,1.885
46,1776637602.336,1,1.305,3.709
46,1776637608.878,1,1.275,3.747
46,1776637621.655,2,0.688,4.821
46,1776637624.911,2,2.152,5.758
46,1776637629.702,2,0.413,3.593
46,1776637631.227,2,1.342,5.284
46,1776637644.128,3,1.393,3.107
46,1776637644.411,3,0.133,4.95
46,1776637648.761,3,3.631,3.783
47,1776715922.967,1,1.553,4.056
47,1776715930.37,1,2.285,2.867
47,1776715947.325,2,1.918,5.346
47,1776715954.563,2,1.595,4.378
47,1776715960.361,2,2.023,3.422
47,1776715965.69,3,0.617,4.811
47,1776715969.961,3,1.837,5.816
47,1776715972.523,3,1.956,3.517
47,1776715979.852,3,0.9,4.621
48,1776719986.742,1,1.352,6.739
48,1776719998.855,1,1.706,2.505
48,1776720011.079,2,2.113,5.854
48,1776720017.901,2,0.87,6.525
48,1776720024.999,2,1.052,5.359
48,1776720033.064,3,0.841,6.498
48,1776720038.415,3,0.616,4.995
48,1776720038.912,3,0.248,3.003
48,1776720045.094,3,2.869,3.054
49,1776720274.453,1,1.991,2.643
49,1776720280.855,1,0.083,2.794
49,1776720283.123,1,1.141,5.861
49,1776720286.75,1,0.575,4.048
49,1776720292.022,1,1.845,3.338
49,1776720295.561,2,0.947,5.256
49,1776720299.055,2,1.654,6.155
49,1776720299.878,2,0.149,2.141
49,1776720307.222,2,1.556,4.053
49,1776720315.064,2,1.437,3.363
49,1776720316.603,2,0.915,4.853
49,1776720319.115,3,1.686,2.586
49,1776720323.28,3,1.835,5.467
49,1776720329.637,3,2.034,2.919
49,1776720336.782,3,0.966,5.104
50,1776720707.963,1,1.382,6.587
50,1776720722.285,1,0.516,5.484
50,1776720727.901,2,1.544,3.022
50,1776720732.305,2,2.635,4.715
50,1776720733.95,2,0.687,5.496
50,1776720738.611,2,1.408,3.917
50,1776720746.719,2,1.15,4.597
50,1776720751.428,3,1.356,3.599
50,1776720755.117,3,2.402,5.063
50,1776720761.603,3,0.674,6.048
50,1776720767.321,3,1.064,0.629
50,1776720770.567,3,2.22,2.736
50,1776720772.465,3,1.022,3.524
51,1776722039.412,1,1.883,4.157
51,1776722040.897,1,0.365,5.65
51,1776722045.78,1,1.735,3.418
51,1776722063.353,2,2.038,5.066
51,1776722071.172,2,2.138,2.898
51,1776722079.104,2,1.47,2.955
51,1776722083.125,2,0.352,3.806
51,1776722087.364,3,1.534,6.26
51,1776722093.822,3,1.519,3.775
51,1776722097.992,3,1.003,4.457
52,1776803205.094,1,0.149,2.466
52,1776803206.59,1,1.132,4.775
52,1776803207.02,1,0.083,4.8
52,1776803220.594,1,0.7,6.098
52,1776803224.075,2,1.101,4.212
52,1776803228.506,2,1.602,4.51
52,1776803242.928,2,1.632,2.854
52,1776803246.641,3,1.512,3.806
52,1776803249.738,3,2.432,5.273
52,1776803255.098,3,0.901,3.35
52,1776803261.024,3,1.596,3.331
53,1776803402.472,1,1.556,4.124
53,1776803403.821,1,0.429,4.5
53,1776803409.14,1,1.986,1.684
53,1776803426.506,2,1.609,5.014
53,1776803428.112,2,1.165,2.946
53,1776803434.667,2,2.439,2.658
53,1776803445.61,3,0.78,4.048
53,1776803450.082,3,1.516,4.516
53,1776803456.769,3,1.949,2.974
54,1776803697.103,1,1.312,6.15
54,1776803714.307,2,1.23,3.747
54,1776803718.253,2,3.399,3.979
54,1776803726.203,2,1.709,3.12
54,1776803741.481,3,1.744,5.957
54,1776803753.893,3,0.963,4.255
55,1776803780.633,1,0.729,6.402
55,1776803787.519,1,2.229,3.038
55,1776803799.115,1,1.035,1.629
55,1776803803.781,2,1.282,6.744
55,1776803814.61,2,1.301,3.594
55,1776803822.524,3,1.313,3.821
55,1776803825.935,3,2.879,4.345
55,1776803832.125,3,1.447,3.599
55,1776803838.688,3,0.531,6.103
56,1776849657.568,1,1.59,3.382
56,1776849662.926,1,0.622,3.6
56,1776849677.109,2,1.407,4.973
56,1776849678.068,2,0.503,6.03
56,1776849689.426,2,1.086,2.063
56,1776849698.262,3,2.222,5.62
56,1776849703.531,3,1.201,2.879
56,1776849711.978,3,1.086,4.385
57,1776849797.986,1,1.582,5.86
57,1776849799.556,1,0.336,3.598
57,1776849803.893,1,1.334,3.774
57,1776849810.478,1,0.867,6.419
57,1776849814.911,2,1.371,3.39
57,1776849818.419,2,2.238,5.689
57,1776849824.255,2,1.264,2.941
57,1776849830.565,2,0.62,6.251
57,1776849834.041,3,1.233,3.133
57,1776849836.999,3,1.271,5.217
57,1776849837.893,3,0.743,6.402
57,1776849843.95,3,1.977,3.268
57,1776849851.426,3,4.855,3.231
57,1776849853.941,3,0.166,2.16
58,1776851251.078,1,1.352,4.942
58,1776851256.247,1,0.285,5.4
58,1776851259.227,1,0.269,5.256
58,1776851269.703,2,1.55,3.818
58,1776851271.402,2,0.533,0.0
58,1776851275.997,2,0.303,5.45
58,1776851292.281,3,1.569,3.078
58,1776851295.592,3,1.979,5.583
58,1776851306.898,3,1.478,2.841
58,1776851308.413,3,1.212,3.861
59,1776853296.809,1,1.362,5.347
59,1776853310.593,1,1.856,3.049
59,1776853314.092,2,0.922,4.59
59,1776853316.919,2,1.881,3.614
59,1776853323.364,2,1.265,3.184
59,1776853328.118,2,0.874,3.229
59,1776853334.087,2,1.654,3.189
59,1776853339.128,3,1.743,4.1
59,1776853340.358,3,0.492,5.869
59,1776853345.194,3,1.375,3.002
59,1776853351.071,3,1.144,4.629
60,1776853377.798,1,0.543,4.334
60,1776853384.6,1,1.568,2.888
60,1776853396.005,1,0.378,1.8
60,1776853403.484,2,2.628,4.234
60,1776853410.926,2,1.691,2.665
60,1776853419.709,2,2.262,4.682
60,1776853424.617,3,1.201,5.429
60,1776853425.686,3,0.857,5.507
60,1776853431.677,3,1.55,4.134
61,1776853467.739,1,0.702,6.384
61,1776853473.443,1,1.452,3.706
61,1776853480.738,1,1.916,2.586
61,1776853484.169,2,1.168,3.616
61,1776853488.238,2,1.268,4.866
61,1776853491.458,2,0.775,3.952
61,1776853493.538,2,0.789,4.779
61,1776853498.169,2,0.777,3.968
61,1776853504.477,3,1.567,2.92
61,1776853507.462,3,1.501,3.642
61,1776853509.389,3,1.746,3.749
61,1776853519.404,3,0.349,4.023
61,1776853521.034,3,1.614,3.107
61,1776853525.129,3,1.797,2.458
62,1776883812.522,1,0.083,4.8
62,1776883819.295,1,2.167,3.142
62,1776883826.501,1,1.189,4.651
62,1776883833.76,2,2.776,5.058
62,1776883839.42,2,1.808,3.496
62,1776883845.232,2,1.249,2.498
62,1776883846.712,2,0.98,4.808
62,1776883850.356,3,1.256,3.738
62,1776883853.693,3,2.178,6.281
62,1776883857.702,3,1.084,4.229
62,1776883868.98,3,0.498,6.03
63,1776884110.864,1,1.13,4.073
63,1776884122.469,1,1.368,2.992
63,1776884129.548,2,1.497,3.273
63,1776884133.25,2,1.301,6.134
63,1776884143.726,2,1.442,2.755
63,1776884151.389,3,1.212,3.231
63,1776884159.302,3,1.063,3.65
63,1776884160.465,3,0.431,2.169
64,1776884191.167,1,1.263,6.314
64,1776884196.905,1,1.498,2.299
64,1776884213.08,2,0.968,6.342
64,1776884226.682,2,1.493,3.47
64,1776884234.056,3,0.987,6.605
64,1776884239.54,3,1.436,3.865
64,1776884241.984,3,0.051,2.7
65,1777048347.174,1,0.895,6.55
65,1777048358.244,1,0.781,3.52
65,1777048369.394,2,1.571,4.111
65,1777048375.088,2,1.287,2.567
65,1777048389.145,2,1.359,3.41
65,1777048391.257,3,1.359,3.668
65,1777048393.791,3,1.102,5.865
65,1777048412.911,3,0.65,2.823
66,1778050658.087,1,1.576,5.218
66,1778050663.269,1,0.943,2.166
66,1778050674.696,1,0.856,0.0
66,1778050683.428,2,1.336,6.039
66,1778050690.62,2,3.197,2.606
66,1778050698.035,2,2.091,2.976
67,1778237013.214,1,1.174,4.294
67,1778237030.119,2,1.648,3.414
67,1778237034.226,2,1.506,5.46
67,1778237046.874,2,0.916,5.672
67,1778237050.58,2,1.294,3.05
67,1778237053.61,3,2.099,3.688
67,1778237068.919,3,2.948,2.599
67,1778237071.873,3,0.386,0.25
68,1778237292.419,1,0.513,6.068
68,1778237299.695,1,1.741,3.825
68,1778237311.654,2,1.437,3.035
68,1778237314.918,2,1.747,0.793
68,1778237320.877,2,1.17,6.674
68,1778237326.301,2,1.374,3.051
68,1778237339.061,3,1.995,3.825
68,1778237342.167,3,1.49,6.555
68,1778237348.253,3,1.718,3.957
68,1778237351.865,3,0.779,3.176
68,1778237355.555,3,1.39,4.094
68,1778237357.96,3,0.608,2.542
69,1778240309.171,1,0.908,5.627
69,1778240310.702,1,0.706,2.138
69,1778240315.041,1,1.482,4.334
69,1778240323.654,1,1.046,5.334
69,1778240327.346,2,1.256,3.768
69,1778240329.422,2,0.583,2.393
69,1778240331.688,2,1.275,6.744
69,1778240337.362,2,1.332,4.877
69,1778240345.211,2,1.374,4.004
69,1778240348.513,2,1.185,2.485
69,1778240352.358,3,0.827,6.043
69,1778240363.968,3,1.232,3.132
69,1778240370.169,3,0.76,1.932
70,1778240952.088,1,0.905,6.562
70,1778240953.715,1,0.922,2.907
70,1778240958.353,1,0.941,3.587
70,1778240968.481,1,1.481,4.099
70,1778240971.109,2,2.147,2.998
70,1778240975.198,2,1.341,5.232
70,1778240992.303,3,1.928,3.355
70,1778240996.172,3,1.377,4.019
70,1778241000.687,3,1.22,4.526
70,1778241013.59,3,1.301,3.966
70,1778240952.088,1,0.905,6.562
70,1778240953.715,1,0.922,2.907
70,1778240958.353,1,0.941,3.587
70,1778240968.481,1,1.481,4.099
70,1778240971.109,2,2.147,2.998
70,1778240975.198,2,1.341,5.232
70,1778240992.303,3,1.928,3.355
70,1778240996.172,3,1.377,4.019
70,1778241000.687,3,1.22,4.526
70,1778241013.59,3,1.301,3.966
71,1778241058.307,1,0.916,2.142
71,1778241063.883,2,2.878,4.791
71,1778241082.623,3,1.15,3.369
71,1778241087.901,3,1.659,3.744
71,1778241089.559,3,0.86,1.465
71,1778241090.707,3,1.065,5.691
71,1778241101.122,3,1.28,3.023
72,1778241767.703,1,0.807,5.057
72,1778241773.265,1,0.361,5.26
72,1778241781.043,1,1.803,3.412
72,1778241788.117,2,1.668,3.422
72,1778241790.078,2,1.358,3.761
72,1778241802.416,2,1.517,4.443
72,1778241810.64,3,0.474,1.463
72,1778241812.691,3,1.303,6.761
72,1778241820.123,3,2.059,3.868
73,1778244343.928,1,0.818,6.512
73,1778244350.308,1,1.194,3.602
73,1778244365.699,2,2.459,5.094
73,1778244385.973,3,2.758,5.15
73,1778244391.679,3,0.679,4.657
73,1778244397.751,3,2.193,3.882
74,1778244892.635,1,1.868,3.601
74,1778244906.168,1,0.518,6.103
74,1778244909.434,2,1.527,3.699
74,1778244913.844,2,1.462,4.298
74,1778244935.611,3,2.163,6.048
75,1778254419.279,1,0.18,4.413
75,1778254423.628,1,1.812,3.928
75,1778254438.033,2,1.506,3.922
75,1778254465.11,3,2.508,5.63
76,1778254885.764,1,1.998,3.643
76,1778254896.594,1,1.13,3.986
76,1778254929.442,3,1.114,5.35
77,1778319699.652,1,1.432,6.801
77,1778319704.619,1,0.523,1.887
77,1778319716.503,1,1.353,3.064
77,1778319721.027,2,2.685,5.113
77,1778319728.406,2,2.347,2.674
77,1778319742.984,3,1.089,6.676
77,1778319750.096,3,1.351,4.65
78,1778320169.826,1,1.225,6.631
78,1778320176.593,1,1.223,4.993
78,1778320187.008,2,1.735,3.639
78,1778320191.506,2,2.055,3.834
78,1778320204.187,2,1.174,3.706
78,1778320206.999,2,2.668,3.411
78,1778320215.149,3,1.915,4.524
79,1778320570.594,1,1.989,3.331
79,1778320593.891,2,2.396,5.83
79,1778320616.407,3,1.295,3.932
80,1778321002.42,1,1.505,6.518
80,1778321019.967,2,0.753,4.015
80,1778321024.424,2,2.876,5.296
80,1778321044.057,3,1.388,5.177
80,1778321045.137,3,0.476,5.99
80,1778321046.596,3,0.412,4.477
80,1778321053.776,3,1.148,1.413
80,1778321057.923,3,2.07,4.319
81,1778321190.512,1,1.611,6.187
81,1778321201.849,1,0.915,2.709
81,1778321207.795,2,1.463,4.151
81,1778321211.104,2,1.194,6.719
81,1778321217.27,2,1.34,4.464
81,1778321226.402,2,1.813,3.279
81,1778321229.63,3,1.221,3.921
81,1778321232.959,3,2.728,5.225
81,1778321190.512,1,1.611,6.187
81,1778321201.849,1,0.915,2.709
81,1778321207.795,2,1.463,4.151
81,1778321211.104,2,1.194,6.719
81,1778321217.27,2,1.34,4.464
81,1778321226.402,2,1.813,3.279
81,1778321229.63,3,1.221,3.921
81,1778321232.959,3,2.728,5.225
82,1778321265.086,1,1.691,4.416
82,1778321275.474,1,2.3,3.763
82,1778321286.06,2,1.989,3.469
82,1778321293.397,2,1.985,4.173
82,1778321303.261,3,1.166,4.744
82,1778321307.518,3,3.3,4.892
82,1778321311.677,3,1.089,4.204
82,1778321315.627,3,0.439,2.675
81,1778321190.512,1,1.611,6.187
81,1778321201.849,1,0.915,2.709
81,1778321207.795,2,1.463,4.151
81,1778321211.104,2,1.194,6.719
81,1778321217.27,2,1.34,4.464
81,1778321226.402,2,1.813,3.279
81,1778321229.63,3,1.221,3.921
81,1778321232.959,3,2.728,5.225
82,1778321265.086,1,1.691,4.416
82,1778321275.474,1,2.3,3.763
82,1778321286.06,2,1.989,3.469
82,1778321293.397,2,1.985,4.173
82,1778321303.261,3,1.166,4.744
82,1778321307.518,3,3.3,4.892
82,1778321311.677,3,1.089,4.204
82,1778321315.627,3,0.439,2.675
83,1778321338.514,1,1.043,6.652
83,1778321344.352,1,0.683,6.071
83,1778321348.247,1,1.379,4.24
83,1778321354.79,2,1.459,3.741
83,1778321357.279,2,0.913,6.366
83,1778321358.205,2,0.844,6.417
83,1778321364.102,2,2.012,3.548
83,1778321367.433,2,0.974,3.052
83,1778321370.54,2,0.962,6.418
83,1778321373.682,3,1.501,3.588
83,1778321376.403,3,0.228,5.211
83,1778321377.667,3,1.248,7.079
83,1778321392.325,3,1.313,4.522
81,1778321190.512,1,1.611,6.187
81,1778321201.849,1,0.915,2.709
81,1778321207.795,2,1.463,4.151
81,1778321211.104,2,1.194,6.719
81,1778321217.27,2,1.34,4.464
81,1778321226.402,2,1.813,3.279
81,1778321229.63,3,1.221,3.921
81,1778321232.959,3,2.728,5.225
82,1778321265.086,1,1.691,4.416
82,1778321275.474,1,2.3,3.763
82,1778321286.06,2,1.989,3.469
82,1778321293.397,2,1.985,4.173
82,1778321303.261,3,1.166,4.744
82,1778321307.518,3,3.3,4.892
82,1778321311.677,3,1.089,4.204
82,1778321315.627,3,0.439,2.675
83,1778321338.514,1,1.043,6.652
83,1778321344.352,1,0.683,6.071
83,1778321348.247,1,1.379,4.24
83,1778321354.79,2,1.459,3.741
83,1778321357.279,2,0.913,6.366
83,1778321358.205,2,0.844,6.417
83,1778321364.102,2,2.012,3.548
83,1778321367.433,2,0.974,3.052
83,1778321370.54,2,0.962,6.418
83,1778321373.682,3,1.501,3.588
83,1778321376.403,3,0.228,5.211
83,1778321377.667,3,1.248,7.079
83,1778321392.325,3,1.313,4.522
84,1778321425.517,1,3.979,3.291
84,1778321434.606,2,0.91,6.381
84,1778321436.283,2,0.962,4.076
84,1778321450.927,3,1.625,4.264
84,1778321452.239,3,0.501,2.952
84,1778321454.155,3,1.38,6.787
84,1778321460.351,3,2.321,3.551
81,1778321190.512,1,1.611,6.187
81,1778321201.849,1,0.915,2.709
81,1778321207.795,2,1.463,4.151
81,1778321211.104,2,1.194,6.719
81,1778321217.27,2,1.34,4.464
81,1778321226.402,2,1.813,3.279
81,1778321229.63,3,1.221,3.921
81,1778321232.959,3,2.728,5.225
82,1778321265.086,1,1.691,4.416
82,1778321275.474,1,2.3,3.763
82,1778321286.06,2,1.989,3.469
82,1778321293.397,2,1.985,4.173
82,1778321303.261,3,1.166,4.744
82,1778321307.518,3,3.3,4.892
82,1778321311.677,3,1.089,4.204
82,1778321315.627,3,0.439,2.675
83,1778321338.514,1,1.043,6.652
83,1778321344.352,1,0.683,6.071
83,1778321348.247,1,1.379,4.24
83,1778321354.79,2,1.459,3.741
83,1778321357.279,2,0.913,6.366
83,1778321358.205,2,0.844,6.417
83,1778321364.102,2,2.012,3.548
83,1778321367.433,2,0.974,3.052
83,1778321370.54,2,0.962,6.418
83,1778321373.682,3,1.501,3.588
83,1778321376.403,3,0.228,5.211
83,1778321377.667,3,1.248,7.079
83,1778321392.325,3,1.313,4.522
84,1778321425.517,1,3.979,3.291
84,1778321434.606,2,0.91,6.381
84,1778321436.283,2,0.962,4.076
84,1778321450.927,3,1.625,4.264
84,1778321452.239,3,0.501,2.952
84,1778321454.155,3,1.38,6.787
84,1778321460.351,3,2.321,3.551
85,1778321482.649,1,1.223,6.47
85,1778321487.92,1,1.235,2.847
85,1778321495.905,1,0.865,5.944
